f_Hz_Median,ICI,num_Clicks,var_RI
 6160.00,  0.1987915, 12,  0.0000136
 5864.00,  0.1412354, 19,  0.0000092
 6608.00,  0.1590576, 21,  0.0000101
 5416.00,  0.1296387, 10,  0.0000155
 6608.00,  0.1553650, 43,  0.0000150
 6392.00,  0.0731812, 66,  0.0000132
 6792.00,  0.0086060, 323,  0.0001242
 6408.00,  0.0439453, 483,  0.0001794
 6600.00,  0.1194458, 46,  0.0000186
 6632.00,  0.1362000, 23,  0.0000094
 6616.00,  0.1019592, 55,  0.0000094
 7032.00,  0.1405029, 10,  0.0000129
 6624.00,  0.0987549, 52,  0.0000129
 6624.00,  0.0647583, 371,  0.0000129
 6616.00,  0.0664063, 406,  0.0000101
 6616.00,  0.1071167, 100,  0.0000122
 6624.00,  0.0658569, 26,  0.0000122
 6616.00,  0.0288696, 463,  0.0000097
 5744.00,  0.1156006, 9,  0.0000120
 6624.00,  0.1032104, 110,  0.0000120
 6616.00,  0.0481262, 57,  0.0000118
 6264.00,  0.1180420, 32,  0.0000091
 7208.00,  0.0947876, 20,  0.0000091
 6616.00,  0.0955200, 200,  0.0000091
 6632.00,  0.1290283, 24,  0.0000121
 6624.00,  0.1070557, 34,  0.0000090
 5824.00,  0.4708252, 10,  0.0000709
 5848.00,  0.2991333, 20,  0.0000709
 6600.00,  0.0223999, 8,  0.0000169
 6624.00,  0.0535278, 61,  0.0000270
 6000.00,  0.0979309, 27,  0.0000405
 6680.00,  0.0379944, 257,  0.0000405
 6920.00,  0.0654297, 14,  0.0000413
 6912.00,  0.1333618, 16,  0.0000413
 6320.00,  0.0761719, 16,  0.0000361
 6832.00,  0.0585022, 17,  0.0000361
 6880.00,  0.0601196, 23,  0.0000361
 6872.00,  0.0880127, 9,  0.0000358
 6904.00,  0.1686707, 15,  0.0000358
 6096.00,  0.0688477, 15,  0.0000296
 6488.00,  0.0743408, 11,  0.0000209
 6624.00,  0.0609131, 28,  0.0000088
 6440.00,  0.1044312, 29,  0.0000088
 6608.00,  0.0820313, 10,  0.0000088
 7368.00,  0.1041870, 19,  0.0000084
 6616.00,  0.1396484, 32,  0.0000119
 6616.00,  0.0369873, 24,  0.0000081
 6608.00,  0.0654907, 48,  0.0000106
 6360.00,  0.0196533, 48,  0.0000106
 7264.00,  0.0673218, 12,  0.0000087
 7376.00,  0.0527649, 11,  0.0000122
 6328.00,  0.0979004, 15,  0.0000122
 6528.00,  0.1298828, 10,  0.0000119
 6200.00,  0.2232666, 8,  0.0000081
 6360.00,  0.1070251, 9,  0.0000081
 6608.00,  0.2280884, 9,  0.0000118
 6608.00,  0.1632080, 14,  0.0000114
 8184.00,  0.0522766, 13,  0.0000114
 6608.00,  0.0044861, 15,  0.0000118
 6608.00,  0.2432861, 10,  0.0000290
 6640.00,  0.1159668, 30,  0.0000241
 6592.00,  0.3096924, 14,  0.0000286
 6576.00,  0.1624756, 48,  0.0000251
 6632.00,  0.1630859, 46,  0.0000259
 5848.00,  0.1357727, 51,  0.0000263
 6000.00,  0.1569824, 23,  0.0000263
 6200.00,  0.0076904, 414,  0.0000215
 6344.00,  0.0041504, 107,  0.0000191
 8248.00,  0.0104980, 8,  0.0000198
 4376.00,  0.0123291, 24,  0.0000198
 6616.00,  0.0065002, 31,  0.0000198
 6360.00,  0.0056763, 102,  0.0000198
 6232.00,  0.0068970, 48,  0.0000198
 6624.00,  0.0078430, 221,  0.0000227
 6136.00,  0.0139160, 26,  0.0000227
 5880.00,  0.0129395, 9,  0.0000227
 4504.00,  0.0570068, 18,  0.0000223
 4424.00,  0.4046936, 9,  0.0000218
 6616.00,  0.3390503, 8,  0.0000215
 6616.00,  0.0194092, 16,  0.0000201
 6264.00,  0.1339722, 29,  0.0000157
 6256.00,  0.0886536, 41,  0.0000157
 6616.00,  0.0516968, 12,  0.0000157
 6608.00,  0.1271667, 23,  0.0000109
 6616.00,  0.2692871, 16,  0.0000109
 7048.00,  0.1543274, 17,  0.0000157
 6608.00,  0.1464844, 24,  0.0000158
 6240.00,  0.1167603, 11,  0.0000158
 6648.00,  0.1134338, 15,  0.0000158
